found_date,serial,mark,applicant,applicant_country,route,international_registration,office_action,office_action_date,filing_date,tsdr_status
2026-09-01,79449990,INTEGRITAG,Integritag GmbH,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-02,https://tsdr.uspto.gov/#caseNumber=79449990&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449339,PEAK,WMF GmbH,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-10,https://tsdr.uspto.gov/#caseNumber=79449339&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449338,ELEVATION,WMF GmbH,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-10,https://tsdr.uspto.gov/#caseNumber=79449338&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449337,SUMMIT,WMF GmbH,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-10,https://tsdr.uspto.gov/#caseNumber=79449337&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79449229,LUMINA,A. Berger GmbH,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-11,https://tsdr.uspto.gov/#caseNumber=79449229&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79448838,BLISS & BIZ,Elisabeth Lukas,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-10,https://tsdr.uspto.gov/#caseNumber=79448838&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79447958,POTLUCK SPICES,Potluck GmbH,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-12,https://tsdr.uspto.gov/#caseNumber=79447958&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79447460,MASTERCRETE,Construction Research & Technology GmbH,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-03-04,https://tsdr.uspto.gov/#caseNumber=79447460&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79441722,RESEARCH 3 NEO,Eppendorf SE,DE,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2025-12-22,https://tsdr.uspto.gov/#caseNumber=79441722&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,79450031,BURLINGTON VTEST DIAGNOSTIC,Burlington Education Cyprus Limited,CY,Madrid (66(a) designation),,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,2026-08-31,2026-02-25,https://tsdr.uspto.gov/#caseNumber=79450031&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,99784985,SUNSECURE,Katerine Bello Perez,CO,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2026-04-24,https://tsdr.uspto.gov/#caseNumber=99784985&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,99780766,AORIIALY,Laibao HU,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2026-04-22,https://tsdr.uspto.gov/#caseNumber=99780766&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213457,ENJOLIFY,"Guangzhou Yanyang Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213457&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213453,TOYDMADM,"Yancheng Huiyue Trading Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213453&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213451,ARUOONE,"Fang, Liu",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213451&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213449,YUNMOKH,"Shenzhen Yunmo Consumables Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213449&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213448,LALDOSCOO,"Gongyi Hongmai Network Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213448&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213446,VWXSKJ,"Shenzhen Wenxunsheng Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213446&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213445,CELEBFUN,"Xiamen Shiyingjia Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213445&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213442,LIANGMEIXIN,"Zhanjiang Nuosi Trading Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213442&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213439,NIKOOCARE,"Hua, Zhang",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213439&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213437,VIMIDORA,"Zhengyi, Wang",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213437&caseType=SERIAL_NO&searchType=statusSearch
